arterial_network,INSERT,{Trunk of left subcostal artery;Trunk of posterior branch of left subcostal artery}
venous_network,INSERT,{Trunk of azygos vein;Trunk of right tenth posterior intercostal vein}
venous_network,INSERT,{Trunk of hemiazygos vein;Trunk of left tenth posterior intercostal vein}
venous_network,INSERT,{Trunk of left superior intercostal vein;Trunk of left third posterior intercostal vein}
venous_network,INSERT,{Trunk of right superior intercostal vein;Trunk of right third posterior intercostal vein}
venous_network,INSERT,{Trunk of superior mesenteric vein;Trunk of left gastric vein}
arterial_network,INSERT,{Trunk of ileocolic artery;Trunk of colic branch of inferior branch of ileocolic artery}
venous_network,INSERT,{Trunk of ileocolic vein;Trunk of cecal tributary of ileocolic vein}
venous_network,INSERT,{Trunk of superior mesenteric vein;Trunk of right colic vein}
arterial_network,INSERT,{Trunk of inferior branch of ileocolic artery;Trunk of anterior cecal artery of inferior branch of ileocolic artery}
arterial_network,INSERT,{Trunk of inferior branch of ileocolic artery;Trunk of posterior cecal artery of inferior branch of ileocolic artery}
venous_network,INSERT,{Trunk of superior mesenteric vein;Trunk of cystic vein}
venous_network,INSERT,{Trunk of inferior mesenteric vein;Trunk of sigmoid vein}
arterial_network,INSERT,{Trunk of anterior division of left internal iliac artery;Trunk of left middle vesical artery}
arterial_network,INSERT,{Trunk of anterior division of right internal iliac artery;Trunk of right middle vesical artery}
venous_network,INSERT,{Trunk of superior mesenteric vein;Trunk of ileal vein}
venous_network,INSERT,{Trunk of superior mesenteric vein;Trunk of jejunal vein}
arterial_network,INSERT,{Trunk of left renal artery;Trunk of ascending ureteral branches of the left renal artery}
arterial_network,INSERT,{Trunk of left renal artery;Trunk of descending ureteral branches of the left renal artery}
venous_network,INSERT,{Trunk of left renal vein;Trunk of ureteral tributary of left renal vein}
arterial_network,INSERT,{Trunk of left umbilical artery;Trunk of left superior vesical artery}
venous_network,INSERT,{Trunk of inferior mesenteric vein;Trunk of superior rectal vein}
arterial_network,INSERT,{Trunk of right umbilical artery;Trunk of right superior vesical artery}
venous_network,INSERT,{Trunk of inferior thyroid vein;Trunk of esophageal vein}
venous_network,INSERT,{Trunk of superior mesenteric vein;Trunk of middle colic vein}
arterial_network,INSERT,{Trunk of left obturator artery;Trunk of vesical branch of left obturator artery}
arterial_network,INSERT,{Trunk of right obturator artery;Trunk of vesical branch of right obturator artery}
arterial_network,INSERT,{Trunk of common iliac artery;Trunk of hypogastric artery}
arterial_network,INSERT,{Trunk of common hepatic artery;Trunk of right hepatic artery}
arterial_network,INSERT,{Trunk of aorta;Trunk of left first posterior intercostal artery}
arterial_network,INSERT,{Trunk of aorta;Trunk of right first posterior intercostal artery}
arterial_network,INSERT,{Left thyrocervical trunk;Trunk of left suprascapular artery}
arterial_network,INSERT,{Trunk of left axillary artery;Trunk of left thoracoacromial artery}
arterial_network,INSERT,{Left thyrocervical trunk;Trunk of left inferior thyroid artery}
arterial_network,INSERT,{Left thyrocervical trunk;Trunk of left transverse scapular artery}
arterial_network,INSERT,{Trunk of left thoracoacromial artery;Trunk of left acromial branch of thoracoacromial artery}
venous_network,INSERT,{Trunk of left facial vein;Trunk of left inferior labial vein}
venous_network,INSERT,{Trunk of right facial vein;Trunk of right inferior labial vein}
venous_network,INSERT,{Trunk of left inferior thyroid vein;Trunk of left inferior laryngeal vein}
venous_network,INSERT,{Trunk of left superior thyroid vein;Trunk of left superior laryngeal vein}
venous_network,INSERT,{Trunk of right inferior thyroid vein;Trunk of right inferior laryngeal vein}
venous_network,INSERT,{Trunk of right superior thyroid vein;Trunk of right superior laryngeal vein}
arterial_network,INSERT,{Right thyrocervical trunk;Trunk of right inferior thyroid artery}
arterial_network,INSERT,{Trunk of left external iliac artery proper;Trunk of left inferior epigastric artery}
arterial_network,INSERT,{Trunk of right external iliac artery proper;Trunk of right inferior epigastric artery}
arterial_network,INSERT,{Trunk of left second posterior intercostal artery;Trunk of pleural branch of left second posterior intercostal artery}
arterial_network,INSERT,{Trunk of right first posterior intercostal artery;Trunk of pleural branch of right first posterior intercostal artery}
arterial_network,INSERT,{Trunk of right second posterior intercostal artery;Trunk of pleural branch of right second posterior intercostal artery}
arterial_network,INSERT,{Right thyrocervical trunk;Trunk of right suprascapular artery}
arterial_network,INSERT,{Trunk of right axillary artery;Trunk of right thoracoacromial artery}
arterial_network,INSERT,{Thyrocervical trunk;Trunk of right transverse scapular artery}
arterial_network,INSERT,{Trunk of right thoracoacromial artery;Trunk of acromial branch of right thoracoacromial artery}
arterial_network,INSERT,{Trunk of aorta;Trunk of left second posterior intercostal artery}
